조사일,품목,단위,가격,비고
2022-02-17,배추,1포기,3150,신세계카드시 2520
2022-02-17,무,1개,1230,국내산 세척무 카드 984
2022-02-17,양파,1.5kg,3317,"국내산/1망 1.8kg 3,980원"
2022-02-17,상추,100g ,840,"논산양촌/1팩 200g 1,680원"
2022-02-17,오이,1개,1096,"1팩 5개 5,480원 / 신세계카드시 3980"
2022-02-17,애호박,1개,2280,잔주 남강
2022-02-17,달걀,30구,6280,ㅇㄹ판란특란
2022-03-04,배,1개,2875,"저탄소인증배/1팩 3~4 11,500원"
2022-03-04,사과,1개,2475,"밀양얼음골사과/1팩 4개 9,900원"
2022-03-04,쇠고기,100g ,5880,부경축산
2022-03-04,조기,1마리 15cm ,2980,"국내산 해동/1팩 3마리 8,940원"
2022-03-04,명태,100g ,2180,주) 삼정
2022-03-04,돼지고기,1마리 25cm,1980,"수입해동/1팩 4마리 7,920원"
2022-03-04,오징어,1마리 45cm ,4980,러시아산 냉동
2022-03-04,고등어,1마리 30cm ,4800,국내산 생물
2022-03-04,닭고기,1마리 1kg ,8980,하림동물복지
2022-03-04,배추,1포기,3280,국내산 신세계카드 2624
2022-03-04,무,1개,1050,국내산 세척무
2022-03-04,양파,1.5kg,2900,"국내산/1망 1.8kg 3,480원"
2022-03-04,상추,100g ,890,"논산양촌/1상자 200g 1,780원"
2022-03-04,오이,1개,796,"국내산 백오이/1팩 5개 3,980원"
2022-03-04,애호박,1개,2280,진상아
2022-03-04,달걀,30개,6380,일판란특란
2022-03-10,배,1개,2875,"저탄소인증배/1팩 3~4 11,500원"
2022-03-10,사과,1개,2475,"밀양얼음골사과/1팩 4개 9,900원"
2022-03-10,쇠고기,100g (1등급),5880,주)횡성케이시
2022-03-10,조기,1마리 15cm,700,"국내산 해동/1팩 10마리 7,000원"
2022-03-10,명태,100g ,2680,주0헤드림케이시
2022-03-10,돼지고기,1팩 20cm ,5000,국내산 생물
2022-03-10,오징어,1마리 45cm ,4980,러시아산 냉동 토막동태
2022-03-10,고등어,1마리 30cm ,3990,국내산 생물
2022-03-10,닭고기,1마리 1kg,8980,하림무항생제
2022-03-10,배추,1포기,3280,신세게카드 2624
2022-03-10,무,1개,1480,국내산 세척무
2022-03-10,양파,1.5kg,2067,"국내산/1망1.8kg 2,480원"
2022-03-10,상추,100g ,990,"논산양촌/1망 200g 1,980원"
2022-03-10,오이,1개,996,"국내산 백오이/1팩 5개 4,980원"
2022-03-10,애호박,1개,1480,진주드림
2022-03-10,달걀,30개,6380,일판란 대란
2022-03-18,배,1개,2875,"저탄소인증/1팩 3~4 11,500원"
2022-03-18,사과,1개,2475,"밀양얼음골사과/1팩 4개 9,900원"
2022-03-18,쇠고기,100g (1+),6380,음성축산물공판장
2022-03-18,조기,1마리 10cm,700,참조기제주산 해동/1팩 10마리
2022-03-18,명태,100g,2480,제일리버트
2022-03-18,돼지고기,1마리 20cm,3500,"국내산 해동/1팩 3마리 10,500원"
2022-03-18,오징어,1마리 45cm,4980,러시아산 냉동 토막동태
2022-03-18,고등어,1팩 450g,4980,안동간고등어
2022-03-18,닭고기,1마리 1kg,8980,무항생제 두마리영계
2022-03-18,배추,1포기,3280,국내산 손질배추
2022-03-18,무,1개,1350,국내산 세척무 신세계카드시 1080
2022-03-18,양파,1.5kg,2900,"국내산/1망1.8kg 3,480원"
2022-03-18,상추,100g ,840,"논산양촌/1망 200g 1,680원"
2022-03-18,오이,1개,996,"국내산 백오이/1팩 5개 4,980원"
2022-03-18,애호박,1개,1680,진주애
2022-03-18,달걀,30구,6980,일판란왕란
2022-03-24,배,1개,2875,"저탄소인증/1팩 3~4 11,500원"
2022-03-24,사과,1개,2475,"밀양얼음골사과/1팩 4개 9,900원"
2022-03-24,쇠고기,100g (1+),6380,농협음성축산물
2022-03-24,조기,1마리 10cm,700,"제주참조기 해동/1팩 10마리 7,000원"
2022-03-24,명태,100g,2480,제일리버트
2022-03-24,돼지고기,1마리 20cm,3500,"국내산 해동/1팩 3마리 10,500원"
2022-03-24,오징어,1마리 45cm ,4980,러시아산 냉동토막동태
2022-03-24,고등어,1마리30cm ,3980,국내산생물
2022-03-24,닭고기,1마리 1kg,8980,두마리영계
2022-03-24,배추,1포기,3280,국내산 손질배추
2022-03-24,무,1개,1350,국내산 세척무
2022-03-24,양파,1.5kg,2900,"국내산/1망1.8kg 3,480원"
2022-03-24,상추,100g ,840,"논산양촌/1망 200g 1,680원"
2022-03-24,오이,1개,996,"국내산 백오이/1팩 5개 4,980원"
2022-03-24,애호박,1개,1680,진주애
2022-03-24,달걀,30구,6980,일판란특란
2022-04-08,배,1개,3225,"당찬배/1팩 4개 12,900원"
2022-04-08,사과,1개,2235,"고산지사과/1팩 4~6개 8,940원"
2022-04-08,쇠고기,100g (1+),5880,농협 부천축산물
2022-04-08,조기,1마리 15cm ,700,"참조기 해동/1팩 5마리 3,500원"
2022-04-08,명태,100g ,2480,주)삼정
2022-04-08,돼지고기,1마리 20cm ,2380,"아르헨티나산 해동/1팩 5마리 11,900원"
2022-04-08,오징어,1마리 45cm ,4980,러시아산 냉동토막동태
2022-04-08,고등어,1마리 30cm ,6980,노르웨이산 자반 1손
2022-04-08,닭고기,1마리 1kg,9280,4/13까지 신세계카드 7427
2022-04-08,배추,1포기,3580,국내산 손질배추
2022-04-08,무,1개,1350,국내산 신세계카드 1080 4/13까지
2022-04-08,양파,1.5kg,2650,"국내산/1망1.8kg 3,180원/"
2022-04-08,상추,100g ,740,"논산양촌/1팩 200g 1,480원"
2022-04-08,오이,1개,1196,"1팩 5개 5,980원/4/13 신세계카드 3980"
2022-04-08,애호박,1개,1580,진주드림
2022-04-08,달걀,30구,6980,일판란특란
2022-04-15,배,1개,3200,"저탄소인증배/1팩 4개 12,800원"
2022-04-15,사과,1개,1988,"GAP죽장사과/1팩 4~6개 7,950원"
2022-04-15,쇠고기,100g ((1+),5380,협신식품
2022-04-15,조기,1마리 15cm,980,"제주참조기 국산해동//1팩 5마리 4,900원"
2022-04-15,명태,100g ,3680,헤프닝엘피시
2022-04-15,돼지고기,1마리 30cm ,2280,"아르헨티나산 해동/1팩 4마리 9,120원"
2022-04-15,오징어,1마리 45cm ,5980,러시아산 냉동토막동태
2022-04-15,고등어,1마리 35cm ,3490,"국내산 간고등어 한손 6,980원"
